C,W,nolang,en,cs
,net.dryuf.comp.wedding.mvp.WeddingGiftsReservePresenter,Your Gift has been successfully reserved.,Your Gift has been successfully reserved.,Dar byl úspěšně rezervován.
,,,,
,net.dryuf.comp.wedding.form.WeddingGiftsCancelForm,reservedCode,Reservation code,Rezervační kód
,net.dryuf.comp.wedding.form.WeddingGiftsCancelForm,cancelReservation,Cancel reservation,Zrušit rezervaci
,net.dryuf.comp.wedding.mvp.WeddingGiftsCancelPresenter,Your gift reservation has been successfully cancelled :-(,Your gift reservation has been successfully cancelled :-(,Rezervace dárku byla úspěšně zrušena :-(
,net.dryuf.comp.wedding.mvp.WeddingGiftsCancelPresenter,"Please go back to <a href="".."">wedding gifts list</a> and reserve different one :-)","Please go back to <a href="".."">gifts list</a> and reserve different one :-)","Běžte prosím zpátky na <a href="".."">seznam dárků</a> a rezervujte jiný :-)"
,net.dryuf.comp.wedding.mvp.WeddingGiftsCancelPresenter,"Your gift reservation cancellation failed, probably wrong code specified","Your gift reservation cancellation failed, probably wrong code specified","Rezervace dárku selhala, nejspíš byl zadán špatný kód"
,,,,
,net.dryuf.comp.wedding.form.WeddingGiftsProposeForm,yourEmail,Contact E-mail,Kontaktní E-mail
,net.dryuf.comp.wedding.form.WeddingGiftsProposeForm,description,Proposal,Návrh
,net.dryuf.comp.wedding.form.WeddingGiftsProposeForm,propose,Send the proposal,Odeslat návrh
,net.dryuf.comp.wedding.mvp.WeddingGiftsProposePresenter,Your proposal will be sent to our coordinator and you will receive response to your e-mail.,Your proposal will be sent to our coordinator and you will receive response to your e-mail.,Návrh bude odeslán našemu koordinátorovi a odpověď dostanete na svůj e-mail.
,net.dryuf.comp.wedding.mvp.WeddingGiftsProposePresenter,Your proposal has been sent to our coordinator. Thank you!,Your proposal has been sent to our coordinator. Thank you!,"Návrh byl úspěšně odeslán našemu koordinátorovi, děkujeme!"
,net.dryuf.comp.wedding.mvp.WeddingGiftsProposePresenter,"Please go back to <a href="".."">wedding gifts list</a> and reserve different one :-)","Please go back to <a href="".."">gifts list</a> and reserve different one :-)","Běžte prosím zpátky na <a href="".."">seznam dárků</a> a rezervujte jiný :-)"
,net.dryuf.comp.wedding.mvp.WeddingGiftsProposePresenter,gives a proposal for wedding gift:,gives a proposal for gift:,dává návrh na dárek:
,net.dryuf.comp.wedding.mvp.WeddingGiftsProposePresenter,"Please go back to <a href=""."">wedding gifts list</a>.","Please go back to <a href=""."">gifts list</a>.","Vraťte se prosím zpátky na <a href=""."">seznam darů</a>."
,,,,
,net.dryuf.comp.wedding.form.WeddingGiftsCoordinatorForm,yourEmail,Contact E-mail,Kontaktní E-mail
,net.dryuf.comp.wedding.form.WeddingGiftsCoordinatorForm,description,Question,Dotaz
,net.dryuf.comp.wedding.form.WeddingGiftsCoordinatorForm,submit,Submit,Odeslat
,,,,
,net.dryuf.comp.wedding.mvp.WeddingGiftsCoordinatorPresenter,Your question will be sent to our coordinator and you will receive response to your e-mail.,Your question will be sent to our coordinator and you will receive response to your e-mail.,Vaše otázka bude odeslána našemu koordinátorovi a dostanete co nejdříve odpověd na uvedený e-mail.
,net.dryuf.comp.wedding.mvp.WeddingGiftsCoordinatorPresenter,Wedding Gift Question,Gift Question,Dotaz ke svatebnímu daru
,net.dryuf.comp.wedding.mvp.WeddingGiftsCoordinatorPresenter,has a question regarding wedding gift:,has a question regarding gift:,má dotaz ohledně svatebního daru:
,net.dryuf.comp.wedding.mvp.WeddingGiftsCoordinatorPresenter,Your question has been sent to our coordinator. Thank you!,Your question has been sent to our coordinator. Thank you!,Váš dotaz byl odeslán našemu koordinátorovi. Děkujeme!
,net.dryuf.comp.wedding.mvp.WeddingGiftsCoordinatorPresenter,"Please go back to <a href=""."">wedding gifts list</a>.","Please go back to <a href=""."">gifts list</a>.","Vraťte se prosím zpátky na <a href=""."">seznam darů</a>."
,net.dryuf.comp.wedding.mvp.WeddingGiftsCoordinatorPresenter,has a question regarding wedding gift:,has a question regarding gift:,má otázku ohledně daru:
,,,,
,net.dryuf.core.Language,cs,Česky,Česky
,net.dryuf.core.Language,en,English,English
,,,,
,net.dryuf.datagrid.DataPresenter,Detail,Detail,Detail
,net.dryuf.datagrid.DataPresenter,Edit,Edit,Upravit
,net.dryuf.datagrid.DataPresenter,Remove,Remove,Smazat
,,,,
,net.dryuf.datagrid.DataGridPresenter,Loading data...,Loading data...,Stahuji data...
,net.dryuf.datagrid.DataGridPresenter,Field is mandatory,Field is mandatory,Pole je povinné
,net.dryuf.datagrid.DataGridPresenter,Refresh,Refresh,Aktualizovat
,net.dryuf.datagrid.DataGridPresenter,Failed to remove object: ,Failed to remove object: ,Nepodařilo se odstranit objekt
,net.dryuf.datagrid.Renderer,<,<,<
,net.dryuf.datagrid.Renderer,>,>,>
,net.dryuf.datagrid.Renderer,Action,Action,Akce
,net.dryuf.datagrid.Renderer,black,black,černá
,net.dryuf.datagrid.Renderer,red,red,červená
,net.dryuf.datagrid.Renderer,green,green,zelená
,net.dryuf.datagrid.Renderer,blue,blue,modrá
,net.dryuf.datagrid.Renderer,dark red,dark red,tmavě červená
,net.dryuf.datagrid.Renderer,dark green,dark green,tmavě zelená
,net.dryuf.datagrid.Renderer,dark blue,dark blue,tmavě modrá
,net.dryuf.datagrid.Renderer,yellow,yellow,žlutá
,net.dryuf.datagrid.Renderer,pink,pink,růžová
,net.dryuf.datagrid.Renderer,light purple,light purple,světle fialová
,net.dryuf.datagrid.Renderer,dark purple,dark purple,tmavě fialová
,net.dryuf.datagrid.Renderer,white,white,bílá
,net.dryuf.datagrid.Renderer,turquoise,turquoise,tyrkysová
,net.dryuf.datagrid.Renderer,light grey,light grey,světle šedá
,net.dryuf.datagrid.Renderer,dark grey,dark grey,tmavě šedá
,net.dryuf.datagrid.Renderer,orange,orange,pomerančová
,net.dryuf.datagrid.Renderer,brown,brown,hnědá
,net.dryuf.datagrid.Renderer,forest green,forest green,lesní zelená
,net.dryuf.datagrid.Renderer,grass green,grass green,travnatě zelená
,net.dryuf.datagrid.Renderer,Send,Send ,Odeslat
,net.dryuf.datagrid.Renderer,Cancel,Cancel ,Zrušit
,net.dryuf.datagrid.Renderer,Save,Save,Uložit
,net.dryuf.datagrid.Renderer,Remove,Remove,Odstranit
,,,,
,net.dryuf.mvp.DynamicFormPresenter,Field is mandatory,Field is mandatory,Pole je povinné
,,,,
,net.dryuf.mvp.MainHtmlPresenter,Log in,Log in,Přihlásit
,net.dryuf.mvp.MainHtmlPresenter,Log out,Log out,Odhlásit
,net.dryuf.mvp.MainXhtmlPresenter,Log in,Log in,Přihlásit
,net.dryuf.mvp.MainXhtmlPresenter,Log out,Log out,Odhlásit
,,,,
,,,,
,net.dryuf.security.admin.form.AdminRolesForm,guest,guest,guest
,net.dryuf.security.admin.form.AdminRolesForm,free,free,free
,net.dryuf.security.admin.form.AdminRolesForm,regular,regular,regular
,net.dryuf.security.admin.form.AdminRolesForm,user,user,user
